,marca,preco
50,"Cadeira Gamer Prizi Runner, 180KG, Verde","R$ 382,98"
51,"Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005","R$ 959,99"
52,"Cadeira Gamer MyMax, Giratoria, Preto -  MX12","R$ 835,12"
53,"Cadeira Gamer Husky Gaming Tempest 500, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA079","R$ 1.099,99"
54,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW","R$ 1.949,99"
55,Cadeira Gamer Prizi Runner - Branca,"R$ 379,90"
56,"Smartphone Gamer Asus ROG Phone 5s, 128GB, RAM 8GB, Octa-Core, Câmera Tripla 64MP, Tela 6.78, Preto - 90AI0091-M00190","R$ 3.419,05"
57,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Carvão - CF-9010031-WW","R$ 1.949,99"
58,"Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax","R$ 667,92"
59,"Smartphone Gamer Asus Rog Phone 5s, 128GB, RAM 8GB, Octa-Core, Câmera Tripla 64MP, Tela 6.78, Preto","R$ 3.299,99"
60,"Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074","R$ 1.499,99"
61,"Cadeira Gamer Prizi PZ1005, Peso Suportado até 120Kg, Mecanismo Borboleta, Amarela","R$ 693,41"
62,Cadeira Gamer Prizi Runner - Preta,"R$ 379,90"
63,"Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078","R$ 1.099,99"
64,"Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076","R$ 1.499,99"
65,"Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul","R$ 379,90"
66,"Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto","R$ 1.269,99"
67,"Cadeira Gamer Husky Gaming Blizzard, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BR","R$ 879,99"
68,"Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e verde","R$ 667,92"
69,"Cadeira Gamer, Prizi Runner - Roxa","R$ 379,90"
70,"Cadeira Gamer Prizi Runner, 180KG, Verde","R$ 382,98"
71,"Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005","R$ 959,99"
72,"Cadeira Gamer MyMax, Giratoria, Preto -  MX12","R$ 835,12"
73,"Cadeira Gamer Husky Gaming Tempest 500, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA079","R$ 1.099,99"
74,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW","R$ 1.949,99"
75,Cadeira Gamer Prizi Runner - Branca,"R$ 379,90"
76,"Smartphone Gamer Asus ROG Phone 5s, 128GB, RAM 8GB, Octa-Core, Câmera Tripla 64MP, Tela 6.78, Preto - 90AI0091-M00190","R$ 3.419,05"
77,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Carvão - CF-9010031-WW","R$ 1.949,99"
78,"Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax","R$ 667,92"
79,"Smartphone Gamer Asus Rog Phone 5s, 128GB, RAM 8GB, Octa-Core, Câmera Tripla 64MP, Tela 6.78, Preto","R$ 3.299,99"
80,"Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074","R$ 1.499,99"
81,"Cadeira Gamer Prizi PZ1005, Peso Suportado até 120Kg, Mecanismo Borboleta, Amarela","R$ 693,41"
82,Cadeira Gamer Prizi Runner - Preta,"R$ 379,90"
83,"Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078","R$ 1.099,99"
84,"Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076","R$ 1.499,99"
85,"Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul","R$ 379,90"
86,"Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto","R$ 1.269,99"
87,"Cadeira Gamer Husky Gaming Blizzard, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BR","R$ 879,99"
88,"Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e verde","R$ 667,92"
89,"Cadeira Gamer, Prizi Runner - Roxa","R$ 379,90"
90,"Cadeira Gamer Prizi Runner, 180KG, Verde","R$ 382,98"
91,"Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005","R$ 959,99"
92,"Cadeira Gamer MyMax, Giratoria, Preto -  MX12","R$ 835,12"
93,"Cadeira Gamer Husky Gaming Tempest 500, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA079","R$ 1.099,99"
94,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW","R$ 1.949,99"
